loc,lat,long,name,lng
מירון,32.9852,35.4416,,
מישר,31.8159,34.7526,,
מיתר,31.327,34.9432,,
מכללת ספיר,31.5090643,34.5944391,,
מכמנים,32.9075,35.3287,,
מלונות ים המלח מרכז,31.1803,35.3645,,
מלילות,31.389897,34.595243,,
מלכיה,33.0986,35.5096,,
ממשית,31.0345,35.0478,,
מנוחה,31.6562,34.7773,,
מנוף,32.8533,35.2374,,
מנות,33.0387,35.1952,,
מנחמיה,32.6643,35.5553,,
מנחת מחניים,32.9781,35.572,,
מנרה,33.1954,35.5437,,
מנשית זבדה,32.7062,35.1924,,
מסד,32.8442,35.4232,,
מסדה,32.6823,35.5977,,
מסילת ציון,31.8014,35.0095,,
מסלול,31.3253422,34.5885811,,
מסעדה,33.2321,35.7556,,
מסעודין אל-עזאזמה,31.199264,34.817449,,
מע'אר,32.8907,35.4046,,
מעגלים,31.398859,34.598239,,
מעגלים גבעולים מלילות,31.397604,34.593821,,
מעגן,32.7063,35.6006,,
מעגן מיכאל,32.5587,34.9178,,
מעון,31.4146,35.1639,,
מעון צופיה,31.8557,34.7379,,
מעונה,33.0169,35.2636,,
מעיין ברוך,33.2393,35.6094,,
מעיין צבי,32.5685,34.9406,,
מעיליא,33.0272,35.2563,,
מעלה אדומים,31.7774,35.298,,
מעלה אפרים,32.0713,35.4039,,
מעלה גמלא,32.8883,35.686,,
מעלה החמישה,31.8174,35.1094,,
מעלה חבר,31.4871,35.1651,,
מעלה מכמש,31.8791,35.3059,,
מעלה עירון,32.5541,35.1825,,
מעלה עמוס,31.5969,35.2294,,
מעלה צביה,32.8894,35.3314,,
מעלה רחבעם,31.6494,35.2589,,
מעלה שומרון,32.1654,35.0697,,
מעלות תרשיחא,33.015,35.276,,
מענית,32.458,35.0266,,
מעש,32.0635,34.8926,,
מפלסים,31.5022,34.5617,,
מצדה,31.3114,35.3627,,
מצובה,33.0623,35.1557,,
מצוקי דרגות,31.591,35.3933,,
מצליח,31.9064,34.8713,,
מצפה,32.79,35.5079,,
מצפה אבי''ב,32.837951,35.201059,,
מצפה אילן,32.4614,35.0689,,
מצפה נטופה,32.8017,35.3835,,
מצפה שלם,31.5689,35.4004,,
מצר,32.4402,35.0477,,
מקווה ישראל,32.03,34.7829,,
מרגליות,33.2165,35.5444,,
מרום גולן,33.1326,35.7771,,
מרחב עם,30.888,34.8282,,
מרחביה מושב,32.6048,35.316,,
מרחביה קיבוץ,32.6059,35.3073,,
מרחצאות עין גדי,31.4173,35.3785,,
מרינה,31.680779,34.557664,,
מרכז אזורי דרום השרון,32.1336,34.912,,
מרכז אזורי מבואות חרמון,33.1209,35.5699,,
מרכז אזורי מרום גליל,32.998,35.4415,,
מרכז אזורי משגב,32.8588,35.2598,,
מרכז חבר,32.5483,35.2661,,
מרכז ימי קיסריה,32.5017,34.8925,,
מרכז מיר''ב,32.64726,34.964089,,
מרכז שפירא,31.6969,34.7073,,
מרעית,31.2812,35.0534,,
משאבי שדה,31.004,34.785,,
משגב דב,31.8191,34.7392,,
משגב עם,33.2476,35.5485,,
משהד,32.7389,35.3225,,
משואות יצחק,31.7026,34.69,,
משמר איילון,31.8725,34.9433,,
משמר דוד,31.8236,34.9007,,
משמר הירדן,33.0035,35.5983,,
משמר הנגב,31.3648,34.718,,
משמר השבעה,32.0109,34.8223,,
משמרות,32.4865,34.9839,,
משמרת,32.2276,34.9221,,
משען,31.6569,34.6216,,
מתחם בני דרום,31.8233,34.6994,,
מתחם פי גלילות,32.1384,34.8045,,
מתחם צומת שוקת,31.3095,34.8982,,
מתן,32.1594,34.9732,,
מתת,33.0417,35.3567,,
מתתיהו,31.9297,35.035,,
נאות גולן,32.787,35.6932,,
נאות הכיכר,30.9334,35.3781,,
נאות מרדכי,33.1598,35.5956,,
נאות סמדר,30.0491,35.0281,,
נבטים,31.2198,34.8825,,
נבי סמואל,31.8329,35.1811,,
נגבה,31.6625,34.6796,,
נגוהות,31.4931,34.9833,,
נהורה,31.6213,34.7045,,
נהלל,32.6908,35.1961,,
נהריה,33.0085,35.0981,,
נוב,32.8329,35.7836,,
נוגה,31.6257,34.6953,,
נווה,31.1622,34.3298,,
נווה אטי''ב,33.26202,35.740574,,
נווה אילן,31.8076,35.0809,,
נווה דניאל,31.6763,35.1433,,
נווה זוהר,31.1521,35.3648,,
נווה זיו,33.0274,35.1843,,
נווה חריף,30.0398,35.0365,,
נווה ים,32.6798,34.9319,,
נווה ימין,32.1717,34.9394,,
נווה ירק,32.1327,34.9255,,
נווה מבטח,31.8068,34.7412,,
נווה מיכאל - רוגלית,31.6728,35.0037,,
נווה שלום,31.8174,34.9783,,
נועם,31.5686,34.7882,,
נוף איילון,31.8712,34.9913,,
נוף הגליל,32.71,35.3227,,
נופי נחמיה,32.0982,35.2359,,
נופי פרת,31.8235,35.3199,,
נופים,32.1555,35.0998,,
נופית,32.7634,35.1483,,
נופך,32.0437,34.9203,,
נוקדים,31.6458,35.2504,,
נורדיה,32.3147,34.8968,,
נורית,32.5432,35.3558,,
נחל עוז,31.4727,34.4977,,
נחלה,31.66,34.7928,,
נחליאל,31.9735,35.1404,,
נחלים,32.0586,34.9136,,
נחם,31.7665,35.0036,,
נחף,32.9347,35.3165,,
נחשולים,32.6131,34.9222,,
נחשון,31.8316,34.956,,
נחשונים,32.0632,34.947,,
נטועה,33.0654,35.3234,,
נטור,32.8541,35.7526,,
נטע,31.4761,34.9268,,
נטעים,31.9457,34.7751,,
נטף,31.8313,35.0696,,
ניל''י,31.963415,35.04727,,
נין,32.631,35.3494,,
ניצן,31.7375,34.6308,,
ניצנה,30.886,34.4226,,
ניצני עוז,32.3061,35.0033,,
ניצנים,31.7178,34.6346,,
ניר אליהו,32.1976,34.9494,,
ניר בנים,31.6712,34.755,,
ניר גלים,31.8255,34.6825,,
ניר ח''ן,31.608906,34.714282,,
ניר יצחק,31.236,34.3567,,
ניר ישראל,31.6922,34.6381,,
ניר משה,31.4775,34.6301,,
ניר עוז,31.3097,34.4021,,
ניר עם,31.518459,34.580544,,
ניר עציון,32.6991,34.9925,,
ניר עקיבא,31.4699,34.6462,,
ניר צבי,31.9544,34.8615,,
נירים,31.3357,34.3941,,
נירית,32.1462,34.9848,,
נמרוד,33.2453,35.7516,,
נס הרים,31.7442,35.0594,,
נס עמים,32.9655,35.1216,,
נס ציונה,31.9321,34.8013,,
נעורה,32.6082,35.3937,,
נען,31.8832,34.8592,,
נצר חזני,31.8214,34.8626,,
נצר סרני,31.9228,34.8212,,
נצרת,32.6996,35.3035,,
נשר,32.7649,35.0492,,
נתיב הל''ה,31.687184,34.982523,,
נתיב העשרה,31.5724,34.5393,,
נתיב השיירה,32.9912,35.1307,,
נתיבות,31.4232,34.5953,,
נתניה - מזרח,32.3001,34.8727,,
נתניה - מערב,32.3095,34.8542,,
סאג'ור,32.9431,35.3436,,
סאסא,33.0287,35.3946,,
סביון,32.0456,34.8766,,
סגולה,31.6695,34.7784,,
סואעד חמירה,32.7669,35.1682,,
סולם,32.6056,35.3343,,
סוסיא,31.3866,35.1204,,
סופה,31.2383,34.342,,
סיט,31.7912002547223,34.6394912772076,,
סינמה סיטי גלילות,32.1473,34.8063,,
סכנין,32.8642,35.2945,,
סלמה,32.8932,35.3705,,
סלעית,32.2426,35.0513,,
סנדלה,32.5224,35.3244,,
סנסנה,31.3618,34.901,,
סעד,31.4702,34.5344,,
סעייה-מולדה,31.261071,34.975564,,
סער,33.0287,35.1092,,
ספסופה - כפר חושן,33.0131,35.4402,,
סתריה,31.8899,34.8421,,
ע'ג'ר,33.2728,35.6242,,
עבדון,33.0488,35.1791,,
עבדת,30.7923,34.7687,,
עברון,32.9911,35.1,,
עגור,31.6975,34.912,,
עדי,32.7824,35.1734,,
עדנים,32.1388,34.9091,,
עוזה,31.593,34.7645,,
עוזייר,32.7906,35.3269,,
עולש,32.332,34.9853,,
עומר,31.2643,34.8499,,
עופר,32.6219,34.9835,,
עופרים,32.0186,35.0446,,
עוצם,31.6377,34.7051,,
עזר,31.7362,34.6714,,
עזריאל,32.2628,34.9711,,
עזריה,31.8905,34.9119,,
עזריקם,31.7517,34.6948,,
עידן,30.8063,35.2999,,
עיילבון,32.837949,35.399996,,
עיינות,31.9158,34.7681,,
עילבון,32.8379,35.4,,
עילוט,32.7173,35.2615,,
עין איילה,32.63,34.9443,,
עין אל אסד,32.9408,35.401,,
עין אל-סהלה,32.4915,35.1175,,
עין בוקק,31.2002,35.3625,,
עין גב,32.7834,35.6401,,
עין גדי,31.4512,35.3836,,
עין דור,32.6555,35.4164,,
עין הבשור,31.2809,34.4434,,
עין הוד,32.7003,34.9827,,
עין המפרץ,32.9026,35.093,,
עין השלושה,31.3517,34.4035,,
עין ורד,32.2645,34.9307,,
עין זיוון,33.0965,35.7963,,
עין חוד,32.6914,34.9991,,
עין חצבה,30.7972,35.2453,,
עין חרוד,32.5631,35.3917,,
עין יעקב,33.0093,35.229,,
עין כמונים,32.9194,35.4301,,
עין כרמל,32.6779,34.9537,,
עין מאהל,32.7243,35.3534,,
עין נקובא,31.7939,35.1197,,
עין עירון,32.4844,35.0101,,
עין צורים,31.6949,34.7187,,
עין קנייא,33.2367,35.7313,,
עין ראפה,31.7906,35.1165,,
עין שמר,32.4619,35.0067,,
עין שריד,32.2749,34.9342,,
עין תמר,30.9436,35.3741,,
עינבר,32.9097,35.4237,,
עינת,32.0819,34.9375,,
עיר אובות,30.809,35.2444,,
עכו,32.9331,35.0827,,
עכו - אזור תעשייה,32.8984,35.0863,,
עלומים,31.453,34.5147,,
עלי,32.0712,35.2669,,
עלי זהב,32.0722,35.0641,,
עלמה,33.0519,35.4996,,
עלמון,31.8321,35.2968,,
עמוקה,32.9977,35.5248,,
עמיחי,32.0464,35.3283,,
עמינדב,31.7517,35.1424,,
עמיעד,32.9304,35.5405,,
עמיעוז,31.248463,34.413404,,
עמיקם,32.5646,35.0203,,
עמיר,33.1777,35.6198,,
עמנואל,32.1607,35.136,,
עמקה,32.9777,35.1618,,
ענב,32.2836,35.1252,,
עפולה,32.6105,35.2879,,
עץ אפרים,32.1194,35.0464,,
עצמון - שגב,32.8658,35.2523,,
עראבה,32.8537,35.3372,,
ערב אל עראמשה,33.0888,35.2288,,
ערב אל-נעים,32.8881,35.2901,,
ערד,31.2614,35.2149,,
ערוגות,31.7328,34.7762,,
ערוער - ערערה בנגב,31.160927,35.019757,,
ערערה,32.4963,35.0973,,
ערערה בנגב,31.1561,35.023,,
ערערה-בנגב,31.160927,35.019757,,
עשאהל,31.373,35.0435,,
עשרת,31.8249,34.7475,,
עתלית,32.6909,34.9429,,
עתניאל,31.4388,35.0282,,
פארק תעשיות פלמחים,31.9532,34.7675,,
פארק תעשייה ראם,31.7682,34.7552,,
פדויים,31.3263,34.6121,,
פדיה,31.8578,34.8838,,
פוריה כפר עבודה,32.7198,35.5456,,
פוריה נווה עובד,32.7438,35.5381,,
פוריה עילית,32.7327,35.5462,,
פוריידיס,32.5974,34.9519,,
פורת,32.2771,34.9488,,
פטיש,31.3278,34.56,,
פלך,32.9336,35.233,,
פלמחים,31.9327,34.7069,,
פני קדם,31.5895,35.1951,,
פנימיית עין כרם,31.7788,35.1533,,
פסגות,31.9,35.2239,,
פסוטה,33.0478,35.3088,,
פעמי תש''ז,31.4383,34.6921,,
פקיעין,32.9762,35.3358,,
פרדסיה,32.305,34.9117,,
פרוד,32.9331,35.4343,,
פרי גן,31.222,34.3559,,
פתח תקווה,32.084,34.8878,,
פתחיה,31.867,34.8869,,
צאלים,31.2039,34.5334,,
צבעון,33.0264,35.4167,,
צובה,31.7844,35.118,,
צוחר,31.23717,34.426444,,
צוחר ואוהד,31.23717,34.426444,,
צופים,32.1979,35.0107,,
צופית,32.1949,34.9201,,
צור הדסה,31.7194,35.097,,
צור יצחק,32.2415,34.998,,
צור משה,32.2989,34.9131,,
צור נתן,32.2397,35.014,,
צוריאל,33.0065,35.3148,,
צורית גילון,32.9043,35.2322,,
צורן,32.277644,34.919297,,
ציפורי,32.7467,35.2764,,
צלפון,31.8056,34.9318,,
צפריה,32.0043,34.8547,,
צפרירים,31.6596,34.9443,,
צפת,32.9646,35.496,,
צרופה,32.6478,34.9465,,
צרעה,31.7627,34.9669,,
קבוצת גבע,32.5661,35.3728,,
קבוצת יבנה,31.814,34.7191,,
קדומים,32.2124,35.1574,,
קדימה,32.277644,34.919297,,
קדימה-צורן,32.283,34.9119,,
קדיתא,33.006,35.4683,,
קדמה,31.7008,34.7749,,
קדמת צבי,33.0295,35.6977,,
קדר,31.7544,35.3107,,
קדרון,31.8141,34.7955,,
קדרים,32.8989,35.4716,,
קדש ברנע,30.9034,34.3967,,
קוממיות,31.6626,34.7293,,
קורנית,32.8444,35.2519,,
קטורה,29.9709,35.0614,,
קיבוץ דן,33.2406,35.6523,,
קיסריה,32.519,34.9045,,
קלחים,31.4498,34.6791,,
קלנסווה,32.2858,34.9815,,
קלע,33.1317,35.6839,,
קציר,32.4852,35.1087,,
קצר א-סר,31.083329,34.979579,,
קצר-א-סיר,31.083329,34.979579,,
קצר-א-סיר והפזורה,31.0865,34.9979,,
קצרין,32.991,35.6899,,
קצרין - אזור תעשייה,32.989259,35.710742,,
קריית אונו,32.0549,34.8589,,
קריית אתא,32.8052,35.0925,,
קריית ביאליק,32.8322,35.0884,,
קריית גת,31.611148,34.768459,,
קריית חינוך מרחבים,31.3142,34.5999,,
קריית טבעון-בית זייד,32.702414,35.131109,,
קריית ים,32.8493,35.0689,,
קריית יערים,31.8028,35.0999,,
קריית מוצקין,32.8382,35.0795,,
קריית מלאכי,31.7302,34.747,,
קריית נטפים,32.1173,35.1121,,
קריית ענבים,31.8099,35.1208,,
קריית עקרון,31.8625,34.822,,
קריית שמונה,33.2079,35.5702,,
קרית ארבע,31.5293,35.1156,,
קרית אתא,32.809144,35.119773,,
קרית חינוך מרחבים,31.3138394,34.5749882,,
קרית מוצקין,32.838202,35.079523,,
קרני שומרון,32.1716,35.0975,,
קשת,32.9804,35.8085,,
ראמה,32.9371,35.367,,
ראס אל-עין,32.9157,35.3727,,
ראס עלי,32.7729,35.1555,,
ראש הנקרה,33.0861,35.1135,,
ראש העין,32.0958,34.9522,,
ראש פינה,32.9704,35.5427,,
ראש צורים,31.6678,35.1253,,
ראשון לציון - מזרח,31.9723,34.8066,,
ראשון לציון - מערב,31.981,34.7679,,
רבבה,32.1187,35.1296,,
רבדים,31.774,34.8148,,
רביבים,31.0452,34.7211,,
רביד,32.8506,35.4641,,
רגבה,32.9775,35.0991,,
רגבים,32.5234,35.034,,
רהט,31.394548,34.753934,,
רהט והפזורה,31.4033,34.7582,,
רווחה,31.6487,34.7337,,
רוחמה,31.4974,34.7052,,
רומאנה,32.7881,35.3112,,
רומת אל הייב,32.7776,35.3057,,
רחובות,31.8928,34.8113,,
רחלים,32.1025,35.2578,,
רטורנו - גבעת שמש,31.7759,34.9474,,
ריחאנייה,33.0499,35.4871,,
ריחן,32.4688,35.1353,,
ריינה,32.7199,35.3177,,
רינתיה,32.0444,34.9285,,
רכסים,32.7493,35.0996,,
רם און,32.5287,35.2587,,
רמות,32.8504,35.6652,,
רמות השבים,32.1651,34.8815,,
רמות מאיר,31.8744,34.8552,,
רמות נפתלי,33.1024,35.5533,,
רמלה,31.9316,34.8729,,
רמת גן,32.068424,34.824785,,
רמת גן - מזרח,32.0529,34.8416,,
רמת גן - מערב,32.0706,34.8275,,
רמת דוד,32.679,35.204,,
רמת הכובש,32.2183,34.9383,,
רמת הנדיב,32.5524,34.9453,,
רמת השרון,32.1378,34.8403,,
רמת יוחנן,32.7935,35.1222,,
רמת ישי,32.704,35.166,,
רמת מגשימים,32.8441,35.8066,,
רמת צבי,32.592,35.4145,,
רמת רזיאל,31.7736,35.0744,,
רנן,31.3387,34.6004,,
רעים,31.3862,34.4588,,
רעננה,32.1848,34.8713,,
רקפת,32.8556,35.2642,,
רשפון,32.2019,34.8247,,
רתמים,31.054,34.6909,,
שאנטי במדבר,30.8333,34.7366,,
שאר ישוב,33.2263,35.6468,,
שבי דרום,31.4664,34.6386,,
שבי ציון,32.9821,35.083,,
שבלי,32.6863,35.4061,,
שגב שלום,31.198361,34.839665,,
שגב שלום והפזורה,31.1984,34.8397,,
שגב-שלום,31.198361,34.839665,,
שדה אברהם,31.2116,34.3357,,
שדה אילן,32.7505,35.4224,,
שדה אליעזר,33.0465,35.5653,,
שדה בוקר,30.8736,34.7931,,
שדה דוד,31.5775,34.6834,,
שדה ורבורג,32.2087,34.9033,,
שדה יואב,31.6457,34.6768,,
שדה יעקב,32.6976,35.1413,,
שדה יצחק,32.405,34.9922,,
שדה משה,31.611,34.8004,,
שדה נחמיה,33.1882,35.6231,,
שדה ניצן,31.23,34.4184,,
שדה עוזיהו,31.7584,34.6782,,
שדה צבי,31.4487,34.7132,,
שדות ים,32.4926,34.8932,,
שדות מיכה,31.7214,34.9207,,
שדי חמד,32.1585,34.9428,,
שדמה,31.8338,34.7401,,
שדמות דבורה,32.6962,35.4364,,
שדרות,31.522694,34.595581,,
שהם,31.9958,34.9488,,
שואבה,31.7994,35.079,,
שובה,31.4501874944935,34.5450936566071,,
שובל,31.4137,34.7458,,
שומרה,33.0825,35.282,,
שומריה,31.4322,34.8841,,
שומרת,32.9515,35.095,,
שוקדה,31.4221,34.5244,,
שורש,31.7975,35.0653,,
שורשים,32.8927,35.2586,,
שזור,32.9339,35.3545,,
שחר,31.6184063,34.7240639,,
שחרות,29.9041,34.9992,,
שיבולים,31.3964,34.6081,,
שיטים,30.1764,35.0167,,
שייח' דנון,32.9938,35.1486,,
שילת,31.9212,35.0146,,
שכניה,32.8492,35.2467,,
שלומי,33.0726,35.1459,,
שלומית,31.1697,34.3032,,
שמיר,33.1668,35.66,,
שמעה,31.3873,35.0127,,
שמשית,32.7325,35.2465,,
שני ליבנה,31.3566,35.0699,,
שניר,33.2403,35.677,,
שעב,32.8897,35.2388,,
שעל,33.1165,35.7188,,
שעלבים,31.8702,34.9843,,
שער אפרים,32.2907,34.9994,,
שער הגולן,32.6869,35.6047,,
שער העמקים,32.7226,35.1106,,
שער מנשה,32.4439,35.011,,
שערי תקווה,32.1207,35.027,,
שפיים,32.2166,34.8224,,
שפיר,31.6976,34.7282,,
שפר,32.9446,35.4378,,
שפרעם,32.8058,35.17,,
שקד,32.4737,35.1684,,
שקף,31.5149,34.9373,,
שרונה,32.7259,35.4672,,
שריגים - ליאון,31.6786,34.9351,,
שריד,32.6631,35.2248,,
שרשרת,31.4048,34.6044,,
שתולה,33.0859,35.3156,,
שתולים,31.7737,34.6844,,
תארבין,31.345481,34.739126,,
תאשור,31.3717,34.6435,,
תדהר,31.3789,34.6304,,
תובל,32.9285,35.2457,,
תחנת רכבת כפר יהושוע,32.6811,35.1246,,
תחנת רכבת ראש העין,32.1209,34.9345,,
תימורים,31.7163,34.7614,,
תירוש,31.7503,34.8859,,
תל אביב - דרום העיר ויפו,32.0462,34.7654,,
תל אביב - יפו,32.0852999,34.7817676,,
תל אביב - מזרח,32.0578,34.7987,,
תל אביב - מרכז העיר,32.0798,34.7772,,
תל אביב - עבר הירקון,32.1213,34.8203,,
תל חי,33.2334,35.5827,,
תל יוסף,32.5567,35.3989,,
תל יצחק,32.2527,34.8724,,
תל מונד,32.2566,34.9185,,
תל עדשים,32.6574,35.3025,,
תל ערד,31.2782985,35.1266529,,
תל ערד ואל פורה,31.2782985,35.1266529,,
תל ציון,31.8804,35.2391,,
תל קציר,32.7064,35.6179,,
תל שבע,31.2476,34.8612,,
תלם,31.5631,35.0312,,
תלמי אליהו,31.2296,34.4291,,
תלמי אלעזר,32.4472,34.975,,
תלמי ביל''ו,31.4381,34.6448,,
תלמי יוסף,31.2,34.3638,,
תלמי יחיאל,31.7536,34.7643,,
תלמי יפה,31.6169,34.6125,,
תלמים,31.5634,34.672,,
תמרת,32.7038,35.2255,,
תנובות,32.3059,34.9626,,
תעוז,31.8013,34.972,,
תעשיון חצב,32.0717,34.9544,,
תעשיון צריפין,31.9624,34.8533,,
תפרח,31.3245,34.6792,,
תקומה,31.4485,34.5781,,
תקומה וחוות יזרעם,31.448536,34.578085,,
תקוע,31.6528,35.2275,,
תראבין א-צאנע ופזורה,31.345481,34.739126,,
תרום,31.7833,34.9802,,
אביחיל,32.350708,34.871229,,
אבני חפץ,32.284628,35.074551,,
אזור תעשייה בראון,32.248791,35.168086,,
אזור תעשייה טירה,32.235466,34.950506,,
אזור תעשייה יקנעם עילית,32.661865,35.105388,,
אזור תעשייה מבוא כרמל,32.620691,35.077981,,
אזור תעשייה מישור אדומים,31.79011599999999,35.3315771,,
אזור תעשייה עמק חפר,32.4048824,34.8967208,,
אזור תעשייה צבאים,32.494533,35.511283,,
אזור תעשייה שער בנימין,31.865575,35.261645,,
אחיה,32.076593,34.8321587,,
אחיטוב,32.387701,34.990826,,
אייל,32.210711,34.978259,,
איתמר,32.173869,35.308029,,
אלון,31.833354,35.353557,,
אלון מורה,32.234418,35.331201,,
אליכין,32.407659,34.925028,,
אליפז ומכרות תמנע,29.7882452,35.0031576,,
אליקים,32.633345,35.067613,,
אלישיב,32.380196,34.909945,,
אלמוג,31.790034,35.461968,,
אמץ,32.369216,34.993129,,
ארגמן,32.17334,35.522285,,
באר אורה,29.710166,34.987218,,
בחן,32.351831,35.018542,,
ביר הדאג',31.02316,34.709138,,
בית אל,31.9416,35.222734,,
בית אלפא וחפציבה,32.5186116,35.4273788,,
בית הלוי,32.351596,34.930443,,
בית הערבה,31.807762,35.476411,,
בית השיטה,32.550874,35.439351,,
בית חזון,32.387178,34.91291,,
בית חרות,32.376223,34.873765,,
בית יוסף,32.558698,35.552773,,
בית ינאי,32.381729,34.863507,,
ביתן אהרן,32.364928,34.86956,,
בני עי'ש,31.790235,34.759291,,
בסמ'ה,32.52940100000001,35.103199,,
בת חן,32.360194,34.872388,,
בת חפר,32.333714,35.013729,,
גאולי תימן,32.391837,34.900989,,
גבעון החדשה,31.848896,35.159029,,
גבעות גורל,31.34341,34.829009,,
גבעת אסף,31.046051,34.851612,,
גבעת הראל וגבעת הרואה,31.046051,34.851612,,
גבעת חיים איחוד,32.396745,34.932978,,
גבעת חיים מאוחד,32.392148,34.929447,,
גבעת עוז,32.555934,35.198004,,
גבעת שפירא,32.35763,34.875845,,
גדיש,32.558844,35.24443,,
גיתית,32.100273,35.395443,,
גלגל,32.000016,35.444643,,
גלעד,32.558075,35.076559,,
גן יאשיה,32.349487,34.996245,,
גני מודיעין,31.9297927,35.0176666,,
גשר,32.621205,35.550376,,
דביר,31.411699,34.825177,,
דוב'ב,33.0508,35.407747,,
דולב,31.926249,35.133591,,
דליה,32.58925,35.076965,,
הדר עם,32.349653,34.898945,,
המעפיל,32.378035,34.983146,,
המרכז האקדמי רופין,32.342406,34.912319,,
העוגן,32.360437,34.923338,,
ורד יריחו,31.826192,35.432139,,
חבצלת השרון וצוקי ים,32.360122,34.858542,,
חגלה,32.38907,34.924252,,
חוות עדן,32.465804,35.486637,,
חוות ערנדל,30.1149442,35.151469,,
חופית,32.386082,34.874078,,
חיבת ציון,32.397995,34.911931,,
חמדיה,32.519773,35.520568,,
חמדת,32.252028,35.526843,,
חמרה,32.199688,35.43735,,
חניאל,32.332803,34.947693,,
חרב לאת,32.403526,34.917146,,
חרמש,32.423726,35.118993,,
חרשה,31.9443811,35.1480438,,
טירת צבי,32.422486,35.52832,,
טלמון,31.939475,35.133131,,
יד חנה,32.325311,35.006692,,
יד רמב'ם,31.899841,34.900086,,
ייט'ב,31.947215,35.422375,,
יקנעם המושבה והזורע,32.655859,35.115152,,
יקנעם עילית,32.660225,35.104606,,
ירדנה,32.565357,35.565978,,
כוכב השחר,31.960264,35.349421,,
כפר אדומים,31.827216,35.337189,,
כפר ביל'ו,31.870475,34.826734,,
כפר גמילה מלכישוע,32.438568,35.412757,,
כפר הרא'ה,32.391037,34.910917,,
כפר הרי'ף וצומת ראם,31.747029,34.790928,,
כפר ויתקין,32.380541,34.875308,,
כפר חב'ד,31.990144,34.849103,,
כפר חיים,32.353857,34.900709,,
כפר ידידיה,32.344902,34.899038,,
כפר מונש,32.345607,34.916426,,
כפר מל'ל,32.167567,34.894744,,
כפר רופין,32.457549,35.555673,,
כרם בן שמן,31.958896,34.934104,,
כרם מהר'ל,32.644325,34.99145,,
כרמי קטיף,31.537825,34.911993,,
מבוא דותן,32.420772,35.173869,,
מבואות יריחו,31.9074488,35.4155538,,
מגדל תפן,32.9766793,35.278017,,
מגרון,31.9485955,35.1708741,,
מדרך עוז,32.594648,35.157976,,
מולדת,32.586196,35.438941,,
מחולה,32.365285,35.51602,,
מירב,32.452041,35.422479,,
מכון וינגייט,32.2630364,34.837004,,
מכורה,32.164159,35.423623,,
מכמורת,32.406504,34.871551,,
מלאה,32.563149,35.237528,,
מסילות,32.497362,35.474651,,
מעברות,32.7927745,34.9853634,,
מעוז חיים,32.49407,35.550767,,
מעלה גלבוע,32.476065,35.420637,,
מעלה לבונה,32.054436,35.239503,,
מצפה אבי'ב,32.837951,35.201059,,
מצפה יריחו,31.815688,35.395409,,
מצפה רמון,30.610203,34.801898,,
מרכז אומן,32.564279,35.241941,,
מרכז אזורי מגילות,32.0245041,34.8058575,,
מרכז מיר'ב,32.64726,34.964089,,
משואה,32.111805,35.490255,,
משכיות,32.317865,35.502754,,
משמר העמק,32.610063,35.142673,,
משמר השרון,32.356305,34.904256,,
נאות חובב,31.135,34.791,,
נוה איתן,32.492304,35.533119,,
נווה אור,32.589025,35.554544,,
נחושה,31.628848,34.952732,,
ניל'י,31.963415,35.04727,,
ניר דוד,32.504062,35.457622,,
ניר ח'ן,31.608906,34.714282,,
ניר יפה,32.568982,35.244896,,
נעורים,31.9739,34.814382,,
נעלה,31.962594,35.065976,,
נעמה,32.0596125,34.7897434,,
נערן,31.968178,35.453892,,
נריה,31.974868,34.773273,,
נתיב הגדוד,31.989412,35.443281,,
נתיב הל'ה,31.687184,34.982523,,
סמר,29.833968,35.022204,,
ספיר,31.5093864,34.594523,,
עדי עד,32.039832,35.335182,,
עזוז,30.792202,34.472404,,
עטרת,32.001207,35.176982,,
עין החורש,32.385871,34.939994,,
עין הנצי'ב,32.47071,35.501973,,
עין העמק,32.629664,35.082246,,
עין השופט,32.596811,35.100445,,
עין חרוד איחוד,32.563099,35.391666,,
עין יהב,30.658757,35.239656,,
עספיא,32.720737,35.059087,,
עפרה,31.955101,35.260324,,
פארן,30.362646,35.155149,,
פדואל,32.062479,35.052619,,
פעמי תש'ז,31.437967,34.692875,,
פצאל,32.043492,35.443753,,
פקיעין החדשה,32.982195,35.323408,,
פרדס חנה-כרכור,32.4728028,34.9742001,,
צופר,30.559394,35.181474,,
צוקים,30.491551,35.165443,,
קיבוץ מגידו,32.577899,35.179972,,
קידה,32.0502857,35.340735,,
קליה,31.749896,35.466131,,
רוויה,32.448638,35.473118,,
רועי,32.24751,35.48948,,
רותם,32.3366,35.518576,,
רחוב,32.451099,35.489598,,
רימונים,31.935382,35.340494,,
רמות מנשה,32.583333,35.133333,,
רמת השופט,32.609356,35.094079,,
רשפים,32.481235,35.47879,,
שבות רחל,32.054539,35.310703,,
שבי שומרון,32.26372,35.183444,,
שדה אליהו,32.441882,35.513803,,
שדה נחום,32.525068,35.480855,,
שדי תרומות,32.440898,35.484204,,
שדמות מחולה,32.347731,35.530587,,
שושנת העמקים,32.354794,34.856814,,
שילה,32.0882276,34.7736678,,
שלווה,31.563697,34.766832,,
שלוחות,32.472608,35.480488,,
שלפים,32.4769827,35.4800624,,
תומר,32.018587,35.4398,,
תל תאומים,32.442537,35.496409,,
תלמי ביל'ו,31.438055,34.644823,,
,32.958,,אבו סנאן,35.172
,31.1031,,אבו קרינאת והפזורה,34.952
