city_name	id	he	en	ru	ar	es	area	countdown	lat	lng
'ביר הדאג	78	ביר הדאג והפזורה	Bir Hadaj and the Bedouin Diaspora	Бир Хададж и диаспора	بئر هداج وضواحيها	Bir Hadaj y la Diáspora Beduina	2	90	31.0302	34.7169
ביריה	1503	ביריה	Biriyeh	Бирия	بيريه	Biriyeh	1	30	32.9781	35.5031
בית אורן	1240	בית אורן	Beit Oren	Бейт Орен	بيت أورن	Beit Oren	22	60	32.7316	35.0063
בית אל	1822	בית אל	Beit El	Бейт Эль	بيت إيلا	Beit El	11	90	31.9416	35.2227
בית אלעזרי	544	בית אלעזרי	Beit Elazari	Бейт Эльазари	بيت اليعزري	Beit Elazari	7	60	31.8447	34.8066
בית אלפא וחפציבה	1062	בית אלפא וחפציבה	Beit Alfa and Heftziba	Бейт Альфа и Хефциба	بيت ألفا وحفتسفا	Beit Alfa and Heftziba	25	60	32.5187	35.4262
בית אריה	728	בית אריה	Beit Arie	Бейт Арье	بيت أريه	Beit Arie	11	90	32.0401	35.0495
בית ברל	858	בית ברל	Beit Berl	Бейт Берл	بيت بيرل	Beit Berl	9	90	32.1997	34.9261
בית ג'אן	1474	בית גאן	Beit Jann	Бейт Джан	بيت جن	Beit Jann	1	30	32.9657	35.3813
בית גוברין	301	בית גוברין	Beit Guvrin	Бейт Говрин	بيت جوبرين	Beit Guvrin	3	60	31.6129	34.8956
בית גמליאל	558	בית גמליאל	Beit Gamliel	Бейт Гамлиэль	بيت جمليئل	Beit Gamliel	7	60	31.8561	34.7609
בית דגן	1860	בית דגן	Beit Dagan	Бейт Даган	بيت دجان	Beit Dagan	23	90	32.0018	34.8297
בית הגדי	1760	בית הגדי	Beit HaGdi	Бейт ха-Гди	وبيت هجدي	Beit HaGdi	17	30	31.4228	34.6079
בית הלוי	943	בית הלוי	Beit HaLevi	Бейт ха-Леви	بيت هليفي	Beit HaLevi	9	90	32.3516	34.9304
בית הלל	1640	בית הלל	Beit Hillel	Бейт Хилель	بيت هيلل	Beit Hillel	6	0	33.2088	35.6065
בית העמק	1481	בית העמק	Beit HaEmek	Бейт ха-Эмек	بيت هعيمك	Beit HaEmek	1	30	32.971	35.1453
בית הערבה	529	בית הערבה	Beit HaArava	Бейт ха-Арава	بيت هعاربا	Beit HaArava	12	90	31.8078	35.4764
בית השיטה	1087	בית השיטה	Beit HaShita	Бейт ха-Шита	بيت هشيتا	Beit HaShita	25	60	32.5509	35.4394
בית זית	466	בית זית	Beit Zayit	Бейт Зайт	بيت زيت	Beit Zayit	32	90	31.7831	35.1611
בית זרע	1196	בית זרע	Beit Zera	Бейт Зера	بيت زيرع	Beit Zera	4	60	32.6893	35.5741
בית חגי	247	בית חגי	Beit Hagai	Бейт Хагай	بيت حاجاي	Beit Jagai	14	90	31.4925	35.0795
בית חורון	596	בית חורון	Beit Horon	Бейт Хорон	بيت حورون	Beit joron	11	90	31.8799	35.1241
בית חזון	965	בית חזון	Beit Hazon	Бейт Хазон	بيت حزون	Beit jazon	9	90	32.3872	34.9129
בית חלקיה	471	בית חלקיה	Beit Hilkia	Бейт Хилькия	بيت حلقية	Beit jilkia	7	60	31.793	34.8097
בית חנן	1806	בית חנן	Beit Hanan	Бейт Ханан	بيت حنان	Beit janan	23	90	31.9352	34.7756
בית חנניה	1064	בית חנניה	Beit Hanania	Бейт Ханания	بيت حنانيه	Beit Janania	5	90	32.5295	34.9267
בית חרות	958	בית חרות	Beit Herut	Бейт Херут	بيت حيروت	Beit jerut	9	90	32.3762	34.8738
בית חשמונאי	1780	בית חשמונאי	Beit Hashmonai	Бейт Хашмонаи	بيت حشمونائي	Beit jashmonai	23	90	31.8903	34.9176
בית יהושע	890	בית יהושע	Beit Yehoshua	Бейт Иешуа	بيت يهوشاع	Beit Yehoshua	9	90	32.2621	34.8654
בית יוסף	1094	בית יוסף	Beit Yossef	Бейт Йосеф	بيت يوسف	Beit Yossef	25	60	32.5587	35.5528
בית ינאי	959	בית ינאי	Beit Yannai	Бейт Яннай	بيت يناي	Beit Yannai	9	90	32.3817	34.8635
בית יצחק - שער חפר	925	בית יצחק - שער חפר	Beit Yithak - Sha'ar Hefer	Бейт Ицхак - Щаар Хефер	بيت يتسحاق- شاعار حيفر	Beit Yitjak - Sha'ar Hefer	9	90	32.3356	34.8895
בית יתיר	193	בית יתיר	Beit Yatir	Бейт Ятир	بيت يتير	Beit Yatir	14	90	31.3656	35.1113
בית לחם הגלילית	1245	בית לחם הגלילית	Bethlehem of Galilee	Бейт Лехем ха-Глилит	بيت ليحم هجليليت	Bethlejem de Galilea	34	60	32.7346	35.1913
בית מאיר	490	בית מאיר	Beit Meir	Бейт Меир	بيت مئير	Beit Meir	3	90	31.7948	35.0368
בית נחמיה	1852	בית נחמיה	Beit Nechemia	Беит Нехемия	بيت نحميا	Beit Nejemia	20	90	31.9771	34.9538
בית ניר	325	בית ניר	Beit Nir	Бейт Нир	بيت نير	Beit Nir	3	60	31.6476	34.8731
בית נקופה	512	בית נקופה	Beit Nekofa	Бейт Некофа	بيت نقوبا	Beit Nekofa	3	90	31.8044	35.1269
בית סוהר השרון	1756	בית סוהר השרון	HaSharon Prison	Тюрма а- Шарон	سجن هشرون	Prision HaSharon	9	90	32.2408	34.8848
בית סוהר מגידו	1755	בית סוהר מגידו	Megiddo Prison	Тюрма Магидо	سجن مجدو 	Prision Megiddo	15	90	32.5709	35.1898
בית סוהר נפחא	1757	בית סוהר נפחא	Nafha Prison	Тюрма Нефха	سجن نفحة	Prision Nafha	2	90	30.7265	34.7735
בית סוהר צלמון	1931	בית סוהר צלמון	Zalmon Prison	Мигдаль Тефен	سجن تسلمون	Zalmon Prison	16	60	32.8717	35.4474
בית סוהר קישון	1928	בית סוהר קישון	Kishon Prison	Кишонская тюрьма	سجن كيشون	Kishon Prison	22	60	32.7262	35.0915
בית סוהר שיטה וגלבוע	1754	בית סוהר שיטה וגלבוע	Shita and Gilboa Prison	Тюрьма Шита и Гильбоа	سجن شطا هجلبوع	Prision Shita y Gilboa	34	60	32.5476	35.4151
בית ספר אורט בנימינה	1073	בית ספר אורט בנימינה	Ort Binyamina	Орт Биньямина	مدرسة أورط بنيامينا	Ort Binyamina	5	90	32.5498	34.955
בית ספר שדה מירון	1722	בית ספר שדה מירון	Sdeh Meron School	Школа Сде Мирон	مدرسة سده ميرون	Colegio Sdeh Meron	6	0	33.0115	35.3922
בית עובד	1794	בית עובד	Beit Oved	Бейт Овед	بيت عوفيد	Beit Oved	23	90	31.9213	34.7749
בית עוזיאל	578	בית עוזיאל	Beit Uziel	Бейт Узиэль	بيت عوزيئيل	Beit Uziel	23	90	31.8701	34.9049
בית עזרא	394	בית עזרא	Beit Ezra	Бейт Эзра	بيت عزرا	Beit Ezra	7	45	31.7364	34.6575
בית עלמין תל רגב	1871	בית עלמין תל רגב	Tel Regev Cemetary	Бет Альмин Тель Регев	مقبرة تل ريجيف	Cementerio Tel Regev	19	60	32.7678	35.1219
בית עריף	1864	בית עריף	Beit Arif	Бейт Ариф	بيت عريف	Beit Arif	20	90	31.9954	34.9351
בית צבי	1214	בית צבי	Beit Zvi	Бейт Цви	بيت تسفي	Beit Zvi	22	60	32.7189	34.9697
בית קמה	227	בית קמה	Beit Kama	Бейт Кама	بيت كاما	Beit Kama	24	45	31.4466	34.7622
בית קשת	1234	בית קשת	Beit Keshet	Бейт Кешет	بيت كيشت	Beit Keshet	34	60	32.7184	35.395
בית רימון	1310	בית רימון	Beit Rimon	Бейт Римон	بيت ريمون	Beit Rimon	16	60	32.7818	35.3277
בית שאן	1042	בית שאן	Beit She'an	Бейт Шеан	بيسان	Beit She'an	25	60	32.4971	35.4973
בית שמש	412	בית שמש	Beit Shemesh	Бейт Шемеш	بيت شيمش	Beit Shemesh	3	90	31.747	34.9881
בית שערים	1185	בית שערים	Beit Shea'rim	Бейт Шеарим	بيت شعاريم	Beit Shea'rim	34	60	32.6965	35.1788
בית שקמה	311	בית שקמה	Beit Shikma	Бейт Шикма	بيت شيكما	Beit Shikma	21	30	31.6377	34.6101
ביתן אהרן	950	ביתן אהרן	Bitan Aharon	Бейт Аарон	بيت أهرون	Bitan Aharon	9	90	32.3649	34.8696
ביתר עילית	371	ביתר עילית	Beitar Illit	Бейтар Илит	بيتار عيليت	Beitar Illit	14	90	31.701	35.1119
בלפוריה	1139	בלפוריה	Balfuria	Бальфурия	بلفوريا	Balfuria	34	60	32.63	35.2963
בן זכאי	557	בן זכאי	Ben Zakai	Бен Закай	بن زكاي	Ben Zakai	7	60	31.8572	34.7274
בן עמי	1520	בן עמי	Ben Ami	Бен Ами	بن عامي	Ben Ami	6	0	33.0054	35.1222
בן שמן	1831	בן שמן	Ben Shemen	Бен Шемен	بن شيمن	Ben Shemen	23	90	31.9513	34.9198
בני ברק	754	בני ברק	Bnei Brak	Бней Брак	بني براك	Bnei Brak	18	90	32.0849	34.8352
בני דקלים	254	בני דקלים	Bnei Dkalim	Бней Дкалим	بني دكاليم	Bnei Dkalim	14	60	31.5172	34.917
בני דרום	500	בני דרום	Bnei Darom	Бней Даром	بني دروم	Bnei Darom	7	45	31.8209	34.6916
בני דרור	892	בני דרור	Bnei Dror	Бней Дрор	بني درور	Bnei Dror	9	90	32.2618	34.9018
בני יהודה וגבעת יואב	1331	בני יהודה וגבעת יואב	Bnei Yehuda and Givat Yoav	Бней Иеуда и Гиват Йоав	بني يهودا وجفعات يوئاف	Bnei Yehuda y Givat Yoav	10	15	32.7983	35.6911
בני נצרים	95	בני נצרים	Bnei Netzarim	Бней Нецарим	بني نتسريم	Bnei Netzarim	13	30	31.1435	34.3164
בני עטרות	712	בני עטרות	Bnei Atarot	Бней Атכрот	بني عطاروت	Bnei Atarot	20	90	32.0215	34.9101
בני עי''ש	456	בני עיש	Bnei Ayish	Бней Аиш	بني عايش	Bnei Ayish	7	60	31.7902	34.7593
בני ציון	867	בני ציון	Bnei Zion	Бней Цион	بني تسيون	Bnei Zion	9	90	32.2198	34.8684
בני ראם	438	בני ראם	Bnei Re'em	Бней Рам	بني رام	Bnei Re'em	7	60	31.77	34.7905
בניה	543	בניה	Bnaya	Бнайя	بنيه	Bnaya	7	60	31.8434	34.7518
בנימינה	1053	בנימינה	Binyamina	Биньямина	بنيامينا	Binyamina	5	90	32.5171	34.9551
בסמת טבעון	1244	בסמת טבעון	Basmat Tab'un	Басмат Тивон	بسمة طبعون	Basmat Tab'un	34	60	32.7363	35.1532
בענה	1434	בענה	Bi'ina	Биина	البعنة	Bi'ina	1	30	32.9295	35.2719
בצרה	863	בצרה	Batzra	Бацра	بصرة	Batzra	9	90	32.2145	34.8781
בצת	1581	בצת	Betzet	Бецет	بتست	Betzet	6	0	33.07	35.1326
בקוע	536	בקוע	Beko'a	Бкоа	بكوع	Beko'a	3	90	31.8279	34.9247
בקעות	887	בקעות	Beka'ot	Бкаот	بكعوت	Beka'ot	29	90	32.2421	35.4526
בר גיורא	400	בר גיורא	Bar Giora	Бар Гиора	بار جيورا	Bar Giora	3	90	31.7297	35.0734
בר יוחאי	1526	בר יוחאי	Bar Yochai	Бар Йохай	بار يوحاي	Bar Yojai	1	30	32.9977	35.4482
ברוכין	782	ברוכין	Brukhin	Брухин	بروخين	Brujin	11	90	32.0822	35.0941
ברור חיל	267	ברור חיל	Bror Hayil	Брор Хайль	برور حيال	Bror Hayil	17	30	31.557	34.6465
ברוש	189	ברוש	Brosh	Брош	باروش	Brosh	17	30	31.371091	34.634933
ברטעה	1017	ברטעה	Bart'a	Барта	برطعه	Bart'a	15	90	32.4721	35.095
ברכיה	344	ברכיה	Berekhya	Брехия	براخيا	Berekhya	21	30	31.668	34.6243
ברעם	1575	ברעם	Baram	Барам	برعام	Baram	6	0	33.059	35.4332
ברקאי	1022	ברקאי	Barkai	Баркай	بركاي	Barkai	5	90	32.4761	35.031
ברקן	788	ברקן	Barkan	Баркан	بركان	Barkan	11	90	32.1095	35.106
ברקת	713	ברקת	Bareket	Барекет	بركات	Bareket	20	90	32.0183	34.9432
בת הדר	317	בת הדר	Bat Hadar	Бат Хадар	بات هدار	Bat Hadar	21	30	31.6481	34.5971
בת חן	949	בת חן	Bat Chen	Бат Хен	بات حين	Bat Jen	9	90	32.3602	34.8724
בת חפר	932	בת חפר	Bat Hefer	Бат Хефер	بات حيفر	Bat Jefer	9	90	32.3337	35.0137
בת עין	340	בת עין	Bat Ayin	Бат Аин	بات عاين	Bat Ayin	14	90	31.6577	35.1011
בת שלמה	1110	בת שלמה	Bat Shlomo	Бат Шломо	بات شلومو	Bat Shlomo	22	60	32.6003	35.0038
בת-ים	1866	בת-ים	Bat Yam	Бат-Ям	بات يام	Bat Yam	18	90	32.0132	34.748
בתי מלון ים המלח	108	בתי מלון ים המלח	Dead Sea Hotels	Гостиницы Мертвого Моря	فنادق البحر الميت	Hoteles del Mar Muerto	12	90	31.1691	35.3673
ג'דידה מכר	1424	גדידה מכר	Jadeidi-Makr	Дждейда Макр	جديدة المكر	Jadeidi-Makr	1	30	32.9287	35.1506
ג'וליס	1448	גוליס	Julis	Джулис	جولس	Julis	1	30	32.945	35.1842
ג'לג'וליה	828	גלגוליה	Jaljulia	Джальджулия	جلجوليه	Jaljulia	9	90	32.1525	34.954
ג'סר א-זרקא	1063	גסר א-זרקא	Jisr az-Zarqa	Джиср аз-Зарка	جسر الزرقاء	Jisr az-Zarqa	5	90	32.5363	34.9116
ג'ש - גוש חלב	1541	גש - גוש חלב	Jish (Gush Halav)	Джиш (Гуш Халав)	الجش	Jish (Gush jalav)	6	0	33.0213	35.4479
ג'ת	977	גת	Jatt	Джатт	جت	Jatt	15	90	32.3984	35.0361
גאולי תימן	973	גאולי תימן	Geulei Teiman	Геулей Тейман	جئولي تيمان	Geulei Teiman	9	90	32.3918	34.901
גאולים	915	גאולים	Geulim	Геулим	جئوليم	Geulim	9	90	32.2965	34.9439
גאליה	571	גאליה	Ge'alya	Геалия	جالية	Ge'alya	23	60	31.8856	34.7654
גבולות	118	גבולות	Gvulot	Гвулот	جفولوت	Gvulot	17	30	31.2112	34.4662
גבים, מכללת ספיר	1759	גבים, מכללת ספיר	Gavim, Sapir College	Габим, колледж Сапир	جافين, كلية سفير	Gavim, Sapir College	13	15	31.5071	34.5974
קבוצת גבע	1097	קבוצת גבע	Kvutzat Geva	Квуцат Гева	فرقة جيبع	Kvutzat Geva	34	60	32.5661	35.3728
גבע בנימין	565	גבע בנימין	Geva Binyamin	Гева Биньямин	جيفع بنيامين	Geva Binyamin	11	90	31.85	35.2739
גבע כרמל	1149	גבע כרמל	Geva Carmel	Гева Кармель	جيبع كرميل	Geva Carmel	22	60	32.6622	34.9541
גבעות	360	גבעות	Gvaot	Гваот	جفاعوت	Gvaot	14	90	31.6789	35.1019
גבעות בר	181	גבעות בר	Giv'ot Bar	Гивот Бар	جفاعوت بار	Giv'ot Bar	24	45	31.3572	34.7555
גבעות גורל	1919	גבעות גורל	Goral Hills	Холмы Гораль	جفعوت جورال	Goral Hills	24	45	31.4098	34.7905
גבעות עדן	350	גבעות עדן	Giv'ot Eden	Гивот Эден	جفاعوت عيدن	Giv'ot Eden	3	90	31.6622	35.0139
גבעת אבני	1297	גבעת אבני	Giv'at Avni	Гиват Авни	جفعات أفني	Giv'at Avni	4	60	32.7754	35.4362
גבעת אלה	1232	גבעת אלה	Givat Ela	Гиват Эла	جفعات إيلا	Givat Ela	34	60	32.722	35.2448
גבעת אסף	1891	גבעת אסף	Giv'at Asaf	Гив'ат Асаф	جفعات أساف	Giv'at Asaf	11	90	31.9112	35.2481
גבעת ברנר	567	גבעת ברנר	Givat Brenner	Гиват Бренер	جفعات برنر	Givat Brenner	7	90	31.8666	34.8023
גבעת הראל וגבעת הרואה	1890	גבעת הראל וגבעת הרואה	Giv'at Har'el and Giv'at HaRoeh	Гив'ат Харель и Гив'ат Ха Ро	جفعات هرأل وجفعات هروئي	Giv'at Har'el and Giv'at HaRoeh	11	90	32.0563	35.2748
גבעת השלושה	787	גבעת השלושה	Givat HaShlosha	Гиват ха-Шлоша	جفعات هشلوشا	Givat HaShlosha	18	90	32.0963	34.9206
גבעת וולפסון	1228	גבעת וולפסון	Givat Wolfson	Гиват Вольфсон	جفعات فولفسون	Givat Wolfson	22	60	32.7202	35.0161
גבעת וושינגטון	519	גבעת וושינגטון	Givat Washington	Гиват Вашингтон	جفعات واشنطون	Givat Washington	7	60	31.8175	34.7289
גבעת זאב	570	גבעת זאב	Givat Ze'ev	Гиват Зеэв	جفعات زئيف	Givat Ze'ev	32	90	31.8612	35.1673
גבעת חביבה	1006	גבעת חביבה	Givat Haviva	Гиват Хавива	جفعات حبيياه	Givat Javiva	5	90	32.457652	35.02009
גבעת חיים איחוד	975	גבעת חיים איחוד	Givat Haim (Ihud)	Гиват Хаим Эхуд	جيفعات حاييم إيحود	Givat Haim (Ijud)	9	90	32.3967	34.933
גבעת חיים מאוחד	968	גבעת חיים מאוחד	Givat Haim (Meuhad)	Гиват Хаим Меухад	جفعات حاييم مؤوحاد	Givat Haim (Meuhad)	9	90	32.3921	34.9294
גבעת חן	837	גבעת חן	Givat Hen	Гиват Хен	جفعات حين	Givat jen	9	90	32.1676	34.8755
גבעת יערים	474	גבעת יערים	Givat Yearim	Гиват Яарим	جفعات يعاريم	Givat Yearim	3	90	31.7861	35.0928
גבעת ישעיהו	349	גבעת ישעיהו	Givat Ishayahu	Гиват Йешаягу	جفعات يشعياهو	Givat Ishayahu	3	60	31.6717	34.9437
גבעת כ''ח	719	גבעת כח	Giv'at Ko'ah	Гиват Коах	جفعات كواح	Giv'at Ko'j	20	90	32.032091	34.938796
גבעת ניל''י	1074	גבעת נילי	Givat Nili	Гиват Нили	جفعات نيلي	Givat Nili	15	90	32.549043	35.041194
גבעת עדה	1056	גבעת עדה	Givat Ada	Гиват Ада	جفعات عيدا	Givat Ada	5	90	32.521	35.0114
גבעת עוז	1084	גבעת עוז	Givat Oz	Гиват Оз	جفعات عوز	Givat Oz	15	90	32.5559	35.198
גבעת שמואל	755	גבעת שמואל	Givat Shmuel	Гиват Шмуэль	جفعات شموئيل	Givat Shmuel	18	90	32.0773	34.8492
גבעת שפירא	951	גבעת שפירא	Givat Shapira	Гиват Шапира	جفعات شفيرا	Givat Shapira	9	90	32.3576	34.8758
גבעתי	395	גבעתי	Givati	Гивати	جفعاتي	Givati	7	45	31.7331	34.6795
גבעתיים	744	גבעתיים	Givatayim	Гиватаим	جفعتايم	Givatayim	18	90	32.0722	34.8089
גברעם	282	גברעם	Gvaram	Гварам	جفرعام	Gvaram	13	15	31.5915	34.6122
גבת	1164	גבת	Gvat	Гват	جفت	Gvat	34	60	32.6766	35.2132
גדות	1543	גדות	Gadot	Гадот	جادوت	Gadot	1	30	33.0182	35.6195
גדעונה	1085	גדעונה	Gidona	Гидона	جدعونه	Gidona	34	60	32.5499	35.3592
גדרה	484	גדרה	Gdera	Гадера	جديره	Gdera	7	60	31.8123	34.777
גונן	1618	גונן	Gonen	Гонен	جونن	Gonen	6	15	33.124	35.6462
גורן	1565	גורן	Goren	Горен	جورن	Goren	6	0	33.0556	35.2336
גורנות הגליל	1572	גורנות הגליל	Gornot HaGalil	Горнот ха-Галиль	جورنوت هجاليل	Gornot HaGalil	6	0	33.0593	35.2497
גזית	1148	גזית	Gazit	Газит	جزيت	Gazit	34	60	32.6393	35.4462
גזר	579	גזר	Gezer	Гезер	جيزر	Gezer	23	90	31.8761	34.9203
גיאה	306	גיאה	Ge'a	Гея	جيئاه	Ge'a	21	30	31.6285	34.6027
גיבתון	1779	גיבתון	Gibton	Гибтон	جيفتون	Gibton	23	90	31.8883	34.7991
גיזו	505	גיזו	Gizo	Гизо	جيزو	Gizo	3	90	31.8056	34.9397
גילת	164	גילת	Gilat	Гилат	جيلات	Gilat	17	45	31.3263	34.6489
גינוסר	1372	גינוסר	Ginosar	Гиносар	جينوسار	Ginosar	4	60	32.8487	35.5232
גינתון	1842	גינתון	Ginaton	Гинатон	جينتون	Ginaton	23	90	31.9628	34.9131
גיתה	1483	גיתה	Gita	Гита	جيته	Gita	1	30	32.9672	35.2491
גיתית	798	גיתית	Gitit	Гитит	جيتيت	Gitit	29	90	32.1003	35.3954
גלאון	315	גלאון	Galon	Галон	جيلون	Galon	3	45	31.6334	34.8489
גלגל	707	גלגל	Gilgal	Гильгаль	جلجل	Gilgal	29	90	32.0004	35.4448
גלעד	1083	גלעד	Gal'ed	Гал'ед	جلعد	Gal'ed	15	90	32.5575	35.0763
גמזו	1812	גמזו	Gimzo	Гимзо	جمزو	Gimzo	20	90	31.9272	34.9411
גן הדרום	480	גן הדרום	Gan HaDarom	Ган ха-Даром	جان هدروم	Gan HaDarom	7	60	31.8041	34.6999
גן השומרון	1004	גן השומרון	Gan HaShomron	Ган ха-Шомрон	جان هشومرون	Gan HaShomron	5	90	32.465	34.999
גן חיים	856	גן חיים	Gan Haim	Ган Хаим	جان حايم	Gan Jaim	9	90	32.1958	34.907
גן יאשיה	937	גן יאשיה	Gan Yoshia	Ган Йошиа	جان ياشيه	Gan Yoshia	9	90	32.3495	34.9962
גן יבנה	447	גן יבנה	Gan Yavne	Ган Явне	جان يفنه	Gan Yavne	7	45	31.7831	34.7031
גן נר	1069	גן נר	Gan Ner	Ган Нер	جان نير	Gan Ner	34	60	32.5287	35.3363
גן שורק	1826	גן שורק	Gan Sorek	Ган Шорек	جان شورك	Gan Sorek	23	90	31.944	34.7583
גן שלמה	572	גן שלמה	Gan Shlomo	Ган Шломо	جان شلومو	Gan Shlomo	23	90	31.8788	34.7989
גן שמואל	992	גן שמואל	Gan Shmuel	Ган Шмуэль	جان شموئيل	Gan Shmuel	5	90	32.4529	34.9493
גנות	710	גנות	Ganot	Ганот	جانوت	Ganot	23	90	32.0182	34.8259
גנות הדר	926	גנות הדר	Ginot Hadar	Гинот Хадар	جانوت هدر	Ginot Hadar	9	90	32.3217	34.9007
גני הדר	589	גני הדר	Ganei Hadar	Ганей Хадар	جاني هدار	Ganei Hadar	23	90	31.8782	34.8576
גני טל	457	גני טל	Ganei Tal	Ганей Таль	جاني طال	Ganei Tal	7	60	31.7886	34.7914
גני יוחנן	559	גני יוחנן	Ganei Yochanan	Ганей Йоханан	جاني يوحانان	Ganei Yojanan	23	90	31.8599	34.8408
גני עם	825	גני עם	Ganei Am	Ганей Ам	جاني عام	Ganei Am	9	90	32.1498	34.9034
גני תקווה	746	גני תקווה	Ganei Tikva	Ганей Тиква	جاني تكفا	Ganei Tikva	18	90	32.0605	34.8731
גניגר	1159	גניגר	Genigar	Генигар	جينجار	Genigar	34	60	32.6634	35.2599
געש	872	געש	Ga'ash	Гааш	جاعاش	Ga'ash	9	90	32.2285	34.8244
געתון	1522	געתון	Ga'aton	Гаатон	جعتون	Ga'aton	6	15	33.0061	35.2138
גפן	411	גפן	Geffen	Гефен	جفن	Geffen	3	60	31.7404	34.8784
גרופית	22	גרופית	Grofit	Грофит	جروفيت	Grofit	27	90	29.9416	35.0647
גשור	1349	גשור	Gshur	Гшур	جاشور	Gshur	10	15	32.8199	35.7157
גשר	1135	גשר	Gesher	Гешер	جيشير	Gesher	25	60	32.6212	35.5504
גשר הזיו	1545	גשר הזיו	Gesher HaZiv	Гешер ха-Зив	جيشير هزيف	Gesher HaZiv	6	0	33.0405	35.1106
גת	314	גת	Gat	Гат	جت	Gat	7	45	31.6278	34.7941
גת רימון	758	גת רימון	Gat Rimon	Гат Римон	جت ريمون	Gat Rimon	18	90	32.0681	34.8814
דבוריה	1179	דבוריה	Daburiyya	Дабурия	دبوريه	Daburiyya	34	60	32.6941	35.3685
דביר	210	דביר	Dvir	Двир	دبير	Dvir	24	45	31.4117	34.8252
דברת	1154	דברת	Dovrat	Доврат	دوبرات	Dovrat	34	60	32.6467	35.3501
דגניה א	1224	דגניה א	Degania Alef	Дгания Алеф	دجانيا أ‘	Degania Alef	4	60	32.7069	35.5751
דגניה ב	1211	דגניה ב	Degania Bet	Дгания Бет	دجانيا ب‘	Degania Bet	4	60	32.6991	35.5776
דוב''ב	1574	דובב	Dovev	Довев	دوفيف	Dovev	6	0	33.0508	35.407747
דולב	1815	דולב	Dolev	Долев	دوليف	Dolev	11	90	31.9262	35.1336
דור	1109	דור	Dor	Дор	دور	Dor	22	60	32.607548	34.923294
דורות	249	דורות	Dorot	Дорот	دوروت	Dorot	17	30	31.5072	34.6457
דחי	1134	דחי	Ed-Dahi	Дахи	الدحي	Ed-Daji	34	60	32.6225	35.3436
דימונה	88	דימונה	Dimona	Димона	ديمونا	Dimona	2	90	31.0694	35.0334
דיר אל-אסד	1442	דיר אל-אסד	Deir al-Asad	Дир Эль-Асад	دير الأسد	Deir al-Asad	1	30	32.9344	35.2684
דיר חנא	1381	דיר חנא	Deir Hanna	Дир Хана	دير حنا	Deir Janna	16	60	32.8623	35.3653
דישון	1599	דישון	Dishon	Дишон	ديشون	Dishon	6	0	33.0823	35.5176
דליה	1102	דליה	Dalia	Далья	داليه	Dalia	15	90	32.5892	35.077
דלית אל כרמל	1172	דלית אל כרמל	Daliyat al-Karmel	Далият эль Кармель	دالية الكرمل	Daliyat al-Karmel	22	60	32.6938	35.0554
דלתון	1542	דלתון	Dalton	Дальтон	دلتون	Dalton	6	0	33.0166	35.4899
דמיידה	1340	דמיידה	Dmeide	Дмейде	ضميده	Dmeide	16	60	32.815	35.2266
קיבוץ דן	1659	קיבוץ דן	Kibutz Dan	Кибуц Дан	كيبوتس دان	Kibutz Dan	6	0	33.2406	35.6523
דניאל	1930	דניאל	Daniel	Даниэль	دانيال	Daniel	17	45	31.3109	34.5931
דפנה	1653	דפנה	Dafna	Дафна	دفنا	Dafna	6	0	33.2308	35.6383
דקל	110	דקל	Dekel	Декель	ديكل	Dekel	13	15	31.196642	34.34709
האון	1251	האון	Ha'On	Хаон	هاون	Ha'On	10	30	32.7267	35.6227
הבונים	1128	הבונים	HaBonim	ха-Боним	هبونيم	HaBonim	22	60	32.6366	34.9327
הגושרים	1649	הגושרים	HaGoshrim	ха-Гошрим	هجوشريم	HaGoshrim	6	0	33.2215	35.623
הדר עם	941	הדר עם	Hadar Am	Хадар Ам	هدار عام	Hadar Am	9	90	32.3497	34.8989
הוד השרון	810	הוד השרון	Hod HaSharon	Ход ха-Шарон	هود هشارون	Hod HaSharon	9	90	32.15	34.8839
הודיה	345	הודיה	Hodaya	Ходайя	هوديا	Hodaya	21	30	31.6764	34.6393
הודיות	1322	הודיות	Hodayot	Ходайот	هوديوت	Hodayot	4	60	32.7886	35.435
הושעיה	1277	הושעיה	Hoshaya	Хошайя	هوشيعا	Hoshaya	34	60	32.7579	35.2952
הזורעים	1268	הזורעים	HaZor'im	ха-Зорим	هزورعيم	HaZor'im	4	60	32.7481	35.4999
החותרים	1258	החותרים	HaHotrim	ха-Хотрим	هحوتريم	HaJotrim	19	60	32.7523	34.9575
היוגב	1117	היוגב	HaYogev	ха-Йогев	هيوجف	HaYogev	34	60	32.6128	35.2075
הילה	1556	הילה	Hila	Хила	هيلا	Hila	6	0	33.0362	35.2446
המכללה האקדמית כנרת	1225	המכללה האקדמית כנרת	Kinneret Academic College	Академический колледж Кине	الكلية الأكاديمية كنيرت	Colegio Academico Kinneret	4	30	32.7054	35.5918
המעפיל	962	המעפיל	HaMa'apil	ха-Маапиль	همفعيل	HaMa'apil	9	90	32.378	34.9831
המרכז האקדמי רופין	935	המרכז האקדמי רופין	Ruppin Academic Center	Академический центр Рупин	المركز الأكاديمي روبين	Centro Academico Ruppin	9	90	32.3424	34.9123
הסוללים	1263	הסוללים	HaSollelim	ха-Солелим	هسوليليم	HaSollelim	34	60	32.7518	35.238
העוגן	954	העוגן	HaOgen	ха-Оген	هعوغن	HaOgen	9	90	32.3604	34.9233
